state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,ANANTHAPUR,502,65,55401,1132,56598
"ANDHRA PRADESH",28,Bapatla,750,5,15585,163,15753
"ANDHRA PRADESH",28,Nandyal,755,5,18662,194,18861
"ANDHRA PRADESH",28,NTR,749,23,26336,431,26790
"ANDHRA PRADESH",28,SRIKAKULAM,519,28,26939,705,27672
"ARUNACHAL PRADESH",12,ANJAW,628,0,103,0,103
"ARUNACHAL PRADESH",12,"EAST SIANG",232,0,763,27,790
"ARUNACHAL PRADESH",12,"KRA DAADI",677,0,153,1,154
"ARUNACHAL PRADESH",12,LEPARADA,724,0,154,2,156
"ARUNACHAL PRADESH",12,"LOWER SIANG",719,0,181,4,185
"ARUNACHAL PRADESH",12,SIANG,679,1,116,1,118
"ARUNACHAL PRADESH",12,"WEST SIANG",243,1,472,21,494
ASSAM,18,GOLAGHAT,288,10,15868,271,16149
ASSAM,18,KARIMGANJ,293,5,13686,217,13908
ASSAM,18,MARIGAON,296,3,12533,122,12658
BIHAR,10,BUXAR,194,11,14092,270,14373
BIHAR,10,MADHUBANI,206,8,35273,425,35706
BIHAR,10,MUZAFFARPUR,208,70,64134,1183,65387
BIHAR,10,NAWADA,210,10,19107,257,19374
CHHATTISGARH,22,"BALOD BAZAR",644,12,13532,445,13989
CHHATTISGARH,22,BALRAMPUR,649,0,4157,72,4229
CHHATTISGARH,22,BEMETARA,650,4,8107,127,8238
CHHATTISGARH,22,GARIABAND,645,3,6258,62,6323
CHHATTISGARH,22,"Gaurella Pendra Marwahi",734,1,2376,37,2414
CHHATTISGARH,22,KANKER,381,3,8775,143,8921
CHHATTISGARH,22,"MANENDRAGARH CHIRIMIRI BHARATPUR",760,1,1681,20,1702
CHHATTISGARH,22,MUNGELI,647,0,6267,83,6350
CHHATTISGARH,22,SURAJPUR,648,8,5823,123,5954
CHHATTISGARH,22,SURGUJA,389,23,11454,345,11822
GUJARAT,24,ARVALLI,672,13,10741,328,11082
GUJARAT,24,"BANAS KANTHA",441,100,42593,1583,44276
GUJARAT,24,DANG,444,1,1315,20,1336
GUJARAT,24,"GIR SOMNATH",675,15,16569,632,17216
GUJARAT,24,JUNAGADH,448,75,32259,1157,33491
GUJARAT,24,MORBI,673,552,33884,3139,37575
GUJARAT,24,PATAN,455,51,16526,546,17123
GUJARAT,24,SURAT,459,1593,365634,19168,386395
HARYANA,6,"CHARKI DADRI",701,7,5961,179,6147
HARYANA,6,NUH,604,17,13660,364,14041
"HIMACHAL PRADESH",2,KANGRA,18,40,27263,575,27878
"HIMACHAL PRADESH",2,KINNAUR,19,0,2311,18,2329
"HIMACHAL PRADESH",2,UNA,26,19,11699,283,12001
JHARKHAND,20,"BOKARO ",322,39,36011,623,36673
KARNATAKA,29,"DAKSHIN KANNAD",534,155,60033,1765,61953
KARNATAKA,29,DAVANGERE,535,41,34790,862,35693
KARNATAKA,29,KOLAR,542,60,27174,646,27880
KARNATAKA,29,MYSURU,545,120,80722,1833,82675
KARNATAKA,29,RAMANAGARA,631,34,25099,514,25647
